x_on_x_prod,x_on_x_rem,y_on_x_prod,y_on_x_rem,x_on_y_prod,x_on_y_rem,y_on_y_prod,y_on_y_rem
2,0,0,-1,1,0,0,0
2,0,0,-1,2,0,0,0
2,0,0,-1,-1,0,0,0
2,0,0,-1,-2,0,0,0
2,0,0,-2,1,0,0,0
2,0,0,-2,2,0,0,0
2,0,0,-2,-1,0,0,0
2,0,0,-2,-2,0,0,0
-1,0,0,1,1,0,0,0
-1,0,0,1,2,0,0,0
-1,0,0,1,-1,0,0,0
-1,0,0,1,-2,0,0,0
-1,0,0,2,1,0,0,0
-1,0,0,2,2,0,0,0
-1,0,0,2,-1,0,0,0
-1,0,0,2,-2,0,0,0
-1,0,0,-1,1,0,0,0
-1,0,0,-1,2,0,0,0
-1,0,0,-1,-1,0,0,0
-1,0,0,-1,-2,0,0,0
-1,0,0,-2,1,0,0,0
-1,0,0,-2,2,0,0,0
-1,0,0,-2,-1,0,0,0
-1,0,0,-2,-2,0,0,0
-2,0,0,1,1,0,0,0
-2,0,0,1,2,0,0,0
-2,0,0,1,-1,0,0,0
-2,0,0,1,-2,0,0,0
-2,0,0,2,1,0,0,0
-2,0,0,2,2,0,0,0
-2,0,0,2,-1,0,0,0
-2,0,0,2,-2,0,0,0
-2,0,0,-1,1,0,0,0
-2,0,0,-1,2,0,0,0
-2,0,0,-1,-1,0,0,0
-2,0,0,-1,-2,0,0,0
-2,0,0,-2,1,0,0,0
-2,0,0,-2,2,0,0,0
-2,0,0,-2,-1,0,0,0
-2,0,0,-2,-2,0,0,0
1,0,0,1,0,1,0,0
1,0,0,1,0,2,0,0
1,0,0,1,0,-1,0,0
1,0,0,1,0,-2,0,0
1,0,0,2,0,1,0,0
1,0,0,2,0,2,0,0
1,0,0,2,0,-1,0,0
1,0,0,2,0,-2,0,0
1,0,0,-1,0,1,0,0
1,0,0,-1,0,2,0,0
1,0,0,-1,0,-1,0,0
1,0,0,-1,0,-2,0,0
1,0,0,-2,0,1,0,0
1,0,0,-2,0,2,0,0
1,0,0,-2,0,-1,0,0
1,0,0,-2,0,-2,0,0
2,0,0,1,0,1,0,0
2,0,0,1,0,2,0,0
2,0,0,1,0,-1,0,0
2,0,0,1,0,-2,0,0
2,0,0,2,0,1,0,0
2,0,0,2,0,2,0,0
2,0,0,2,0,-1,0,0
2,0,0,2,0,-2,0,0
2,0,0,-1,0,1,0,0
2,0,0,-1,0,2,0,0
2,0,0,-1,0,-1,0,0
2,0,0,-1,0,-2,0,0
2,0,0,-2,0,1,0,0
2,0,0,-2,0,2,0,0
2,0,0,-2,0,-1,0,0
2,0,0,-2,0,-2,0,0
-1,0,0,1,0,1,0,0
-1,0,0,1,0,2,0,0
-1,0,0,1,0,-1,0,0
-1,0,0,1,0,-2,0,0
-1,0,0,2,0,1,0,0
-1,0,0,2,0,2,0,0
-1,0,0,2,0,-1,0,0
-1,0,0,2,0,-2,0,0
-1,0,0,-1,0,1,0,0
-1,0,0,-1,0,2,0,0
-1,0,0,-1,0,-1,0,0
-1,0,0,-1,0,-2,0,0
-1,0,0,-2,0,1,0,0
-1,0,0,-2,0,2,0,0
-1,0,0,-2,0,-1,0,0
-1,0,0,-2,0,-2,0,0
-2,0,0,1,0,1,0,0
-2,0,0,1,0,2,0,0
-2,0,0,1,0,-1,0,0
-2,0,0,1,0,-2,0,0
-2,0,0,2,0,1,0,0
-2,0,0,2,0,2,0,0
-2,0,0,2,0,-1,0,0
-2,0,0,2,0,-2,0,0
-2,0,0,-1,0,1,0,0
-2,0,0,-1,0,2,0,0
-2,0,0,-1,0,-1,0,0
-2,0,0,-1,0,-2,0,0
-2,0,0,-2,0,1,0,0
-2,0,0,-2,0,2,0,0
-2,0,0,-2,0,-1,0,0
-2,0,0,-2,0,-2,0,0
1,0,0,1,0,0,1,0
1,0,0,1,0,0,2,0
1,0,0,1,0,0,-1,0
1,0,0,1,0,0,-2,0
1,0,0,2,0,0,1,0
1,0,0,2,0,0,2,0
1,0,0,2,0,0,-1,0
1,0,0,2,0,0,-2,0
1,0,0,-1,0,0,1,0
1,0,0,-1,0,0,2,0
1,0,0,-1,0,0,-1,0
1,0,0,-1,0,0,-2,0
1,0,0,-2,0,0,1,0
1,0,0,-2,0,0,2,0
1,0,0,-2,0,0,-1,0
1,0,0,-2,0,0,-2,0
2,0,0,1,0,0,1,0
2,0,0,1,0,0,2,0
2,0,0,1,0,0,-1,0
2,0,0,1,0,0,-2,0
2,0,0,2,0,0,1,0
2,0,0,2,0,0,2,0
2,0,0,2,0,0,-1,0
2,0,0,2,0,0,-2,0
2,0,0,-1,0,0,1,0
2,0,0,-1,0,0,2,0
2,0,0,-1,0,0,-1,0
2,0,0,-1,0,0,-2,0
2,0,0,-2,0,0,1,0
2,0,0,-2,0,0,2,0
2,0,0,-2,0,0,-1,0
2,0,0,-2,0,0,-2,0
-1,0,0,1,0,0,1,0
-1,0,0,1,0,0,2,0
-1,0,0,1,0,0,-1,0
-1,0,0,1,0,0,-2,0
-1,0,0,2,0,0,1,0
-1,0,0,2,0,0,2,0
-1,0,0,2,0,0,-1,0
-1,0,0,2,0,0,-2,0
-1,0,0,-1,0,0,1,0
-1,0,0,-1,0,0,2,0
-1,0,0,-1,0,0,-1,0
-1,0,0,-1,0,0,-2,0
-1,0,0,-2,0,0,1,0
-1,0,0,-2,0,0,2,0
-1,0,0,-2,0,0,-1,0
-1,0,0,-2,0,0,-2,0
-2,0,0,1,0,0,1,0
-2,0,0,1,0,0,2,0
-2,0,0,1,0,0,-1,0
-2,0,0,1,0,0,-2,0
-2,0,0,2,0,0,1,0
-2,0,0,2,0,0,2,0
-2,0,0,2,0,0,-1,0
-2,0,0,2,0,0,-2,0
-2,0,0,-1,0,0,1,0
-2,0,0,-1,0,0,2,0
-2,0,0,-1,0,0,-1,0
-2,0,0,-1,0,0,-2,0
-2,0,0,-2,0,0,1,0
-2,0,0,-2,0,0,2,0
-2,0,0,-2,0,0,-1,0
-2,0,0,-2,0,0,-2,0
1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,2
1,0,0,1,0,0,0,-1
1,0,0,1,0,0,0,-2
1,0,0,2,0,0,0,1
1,0,0,2,0,0,0,2
1,0,0,2,0,0,0,-1
1,0,0,2,0,0,0,-2
1,0,0,-1,0,0,0,1
1,0,0,-1,0,0,0,2
1,0,0,-1,0,0,0,-1
1,0,0,-1,0,0,0,-2
1,0,0,-2,0,0,0,1
1,0,0,-2,0,0,0,2
1,0,0,-2,0,0,0,-1
1,0,0,-2,0,0,0,-2
2,0,0,1,0,0,0,1
2,0,0,1,0,0,0,2
2,0,0,1,0,0,0,-1
2,0,0,1,0,0,0,-2
2,0,0,2,0,0,0,1
2,0,0,2,0,0,0,2
2,0,0,2,0,0,0,-1
2,0,0,2,0,0,0,-2
2,0,0,-1,0,0,0,1
2,0,0,-1,0,0,0,2
2,0,0,-1,0,0,0,-1
2,0,0,-1,0,0,0,-2
2,0,0,-2,0,0,0,1
2,0,0,-2,0,0,0,2
2,0,0,-2,0,0,0,-1
2,0,0,-2,0,0,0,-2
-1,0,0,1,0,0,0,1
-1,0,0,1,0,0,0,2
-1,0,0,1,0,0,0,-1
-1,0,0,1,0,0,0,-2
-1,0,0,2,0,0,0,1
-1,0,0,2,0,0,0,2
-1,0,0,2,0,0,0,-1
-1,0,0,2,0,0,0,-2
-1,0,0,-1,0,0,0,1
-1,0,0,-1,0,0,0,2
-1,0,0,-1,0,0,0,-1
-1,0,0,-1,0,0,0,-2
-1,0,0,-2,0,0,0,1
-1,0,0,-2,0,0,0,2
-1,0,0,-2,0,0,0,-1
-1,0,0,-2,0,0,0,-2
-2,0,0,1,0,0,0,1
-2,0,0,1,0,0,0,2
-2,0,0,1,0,0,0,-1
-2,0,0,1,0,0,0,-2
-2,0,0,2,0,0,0,1
-2,0,0,2,0,0,0,2
-2,0,0,2,0,0,0,-1
-2,0,0,2,0,0,0,-2
-2,0,0,-1,0,0,0,1
-2,0,0,-1,0,0,0,2
-2,0,0,-1,0,0,0,-1
-2,0,0,-1,0,0,0,-2
-2,0,0,-2,0,0,0,1
-2,0,0,-2,0,0,0,2
-2,0,0,-2,0,0,0,-1
-2,0,0,-2,0,0,0,-2
0,1,1,0,1,0,0,0
0,1,1,0,2,0,0,0
0,1,1,0,-1,0,0,0
0,1,1,0,-2,0,0,0
0,1,2,0,1,0,0,0
0,1,2,0,2,0,0,0
0,1,2,0,-1,0,0,0
0,1,2,0,-2,0,0,0
0,1,-1,0,1,0,0,0
0,1,-1,0,2,0,0,0
0,1,-1,0,-1,0,0,0
0,1,-1,0,-2,0,0,0
0,1,-2,0,1,0,0,0
0,1,-2,0,2,0,0,0
0,1,-2,0,-1,0,0,0
0,1,-2,0,-2,0,0,0
0,2,1,0,1,0,0,0
0,2,1,0,2,0,0,0
0,2,1,0,-1,0,0,0
0,2,1,0,-2,0,0,0
0,2,2,0,1,0,0,0
0,2,2,0,2,0,0,0
0,2,2,0,-1,0,0,0
0,2,2,0,-2,0,0,0
0,2,-1,0,1,0,0,0
0,2,-1,0,2,0,0,0
0,2,-1,0,-1,0,0,0
0,2,-1,0,-2,0,0,0
0,2,-2,0,1,0,0,0
0,2,-2,0,2,0,0,0
0,2,-2,0,-1,0,0,0
0,2,-2,0,-2,0,0,0
0,-1,1,0,1,0,0,0
0,-1,1,0,2,0,0,0
0,-1,1,0,-1,0,0,0
0,-1,1,0,-2,0,0,0
0,-1,2,0,1,0,0,0
0,-1,2,0,2,0,0,0
0,-1,2,0,-1,0,0,0
0,-1,2,0,-2,0,0,0
0,-1,-1,0,1,0,0,0
0,-1,-1,0,2,0,0,0
0,-1,-1,0,-1,0,0,0
0,-1,-1,0,-2,0,0,0
0,-1,-2,0,1,0,0,0
0,-1,-2,0,2,0,0,0
0,-1,-2,0,-1,0,0,0
0,-1,-2,0,-2,0,0,0
0,-2,1,0,1,0,0,0
0,-2,1,0,2,0,0,0
0,-2,1,0,-1,0,0,0
0,-2,1,0,-2,0,0,0
0,-2,2,0,1,0,0,0
0,-2,2,0,2,0,0,0
0,-2,2,0,-1,0,0,0
0,-2,2,0,-2,0,0,0
0,-2,-1,0,1,0,0,0
0,-2,-1,0,2,0,0,0
0,-2,-1,0,-1,0,0,0
0,-2,-1,0,-2,0,0,0
0,-2,-2,0,1,0,0,0
0,-2,-2,0,2,0,0,0
0,-2,-2,0,-1,0,0,0
0,-2,-2,0,-2,0,0,0
0,1,1,0,0,1,0,0
0,1,1,0,0,2,0,0
0,1,1,0,0,-1,0,0
0,1,1,0,0,-2,0,0
0,1,2,0,0,1,0,0
0,1,2,0,0,2,0,0
0,1,2,0,0,-1,0,0
0,1,2,0,0,-2,0,0
0,1,-1,0,0,1,0,0
0,1,-1,0,0,2,0,0
0,1,-1,0,0,-1,0,0
0,1,-1,0,0,-2,0,0
0,1,-2,0,0,1,0,0
0,1,-2,0,0,2,0,0
0,1,-2,0,0,-1,0,0
0,1,-2,0,0,-2,0,0
0,2,1,0,0,1,0,0
0,2,1,0,0,2,0,0
0,2,1,0,0,-1,0,0
0,2,1,0,0,-2,0,0
0,2,2,0,0,1,0,0
0,2,2,0,0,2,0,0
0,2,2,0,0,-1,0,0
0,2,2,0,0,-2,0,0
0,2,-1,0,0,1,0,0
0,2,-1,0,0,2,0,0
0,2,-1,0,0,-1,0,0
0,2,-1,0,0,-2,0,0
0,2,-2,0,0,1,0,0
0,2,-2,0,0,2,0,0
0,2,-2,0,0,-1,0,0
0,2,-2,0,0,-2,0,0
0,-1,1,0,0,1,0,0
0,-1,1,0,0,2,0,0
0,-1,1,0,0,-1,0,0
0,-1,1,0,0,-2,0,0
0,-1,2,0,0,1,0,0
0,-1,2,0,0,2,0,0
0,-1,2,0,0,-1,0,0
0,-1,2,0,0,-2,0,0
0,-1,-1,0,0,1,0,0
0,-1,-1,0,0,2,0,0
0,-1,-1,0,0,-1,0,0
0,-1,-1,0,0,-2,0,0
0,-1,-2,0,0,1,0,0
0,-1,-2,0,0,2,0,0
0,-1,-2,0,0,-1,0,0
0,-1,-2,0,0,-2,0,0
0,-2,1,0,0,1,0,0
0,-2,1,0,0,2,0,0
0,-2,1,0,0,-1,0,0
0,-2,1,0,0,-2,0,0
0,-2,2,0,0,1,0,0
0,-2,2,0,0,2,0,0
0,-2,2,0,0,-1,0,0
0,-2,2,0,0,-2,0,0
0,-2,-1,0,0,1,0,0
0,-2,-1,0,0,2,0,0
0,-2,-1,0,0,-1,0,0
0,-2,-1,0,0,-2,0,0
0,-2,-2,0,0,1,0,0
0,-2,-2,0,0,2,0,0
0,-2,-2,0,0,-1,0,0
0,-2,-2,0,0,-2,0,0
0,1,1,0,0,0,1,0
0,1,1,0,0,0,2,0
0,1,1,0,0,0,-1,0
0,1,1,0,0,0,-2,0
0,1,2,0,0,0,1,0
0,1,2,0,0,0,2,0
0,1,2,0,0,0,-1,0
0,1,2,0,0,0,-2,0
0,1,-1,0,0,0,1,0
0,1,-1,0,0,0,2,0
0,1,-1,0,0,0,-1,0
0,1,-1,0,0,0,-2,0
0,1,-2,0,0,0,1,0
0,1,-2,0,0,0,2,0
0,1,-2,0,0,0,-1,0
0,1,-2,0,0,0,-2,0
0,2,1,0,0,0,1,0
0,2,1,0,0,0,2,0
0,2,1,0,0,0,-1,0
0,2,1,0,0,0,-2,0
0,2,2,0,0,0,1,0
0,2,2,0,0,0,2,0
0,2,2,0,0,0,-1,0
0,2,2,0,0,0,-2,0
0,2,-1,0,0,0,1,0
0,2,-1,0,0,0,2,0
0,2,-1,0,0,0,-1,0
0,2,-1,0,0,0,-2,0
0,2,-2,0,0,0,1,0
0,2,-2,0,0,0,2,0
0,2,-2,0,0,0,-1,0
0,2,-2,0,0,0,-2,0
0,-1,1,0,0,0,1,0
0,-1,1,0,0,0,2,0
0,-1,1,0,0,0,-1,0
0,-1,1,0,0,0,-2,0
0,-1,2,0,0,0,1,0
0,-1,2,0,0,0,2,0
0,-1,2,0,0,0,-1,0
0,-1,2,0,0,0,-2,0
0,-1,-1,0,0,0,1,0
0,-1,-1,0,0,0,2,0
0,-1,-1,0,0,0,-1,0
0,-1,-1,0,0,0,-2,0
0,-1,-2,0,0,0,1,0
0,-1,-2,0,0,0,2,0
0,-1,-2,0,0,0,-1,0
0,-1,-2,0,0,0,-2,0
0,-2,1,0,0,0,1,0
0,-2,1,0,0,0,2,0
0,-2,1,0,0,0,-1,0
0,-2,1,0,0,0,-2,0
0,-2,2,0,0,0,1,0
0,-2,2,0,0,0,2,0
0,-2,2,0,0,0,-1,0
0,-2,2,0,0,0,-2,0
0,-2,-1,0,0,0,1,0
0,-2,-1,0,0,0,2,0
0,-2,-1,0,0,0,-1,0
0,-2,-1,0,0,0,-2,0
0,-2,-2,0,0,0,1,0
0,-2,-2,0,0,0,2,0
0,-2,-2,0,0,0,-1,0
0,-2,-2,0,0,0,-2,0
0,1,1,0,0,0,0,1
0,1,1,0,0,0,0,2
0,1,1,0,0,0,0,-1
0,1,1,0,0,0,0,-2
0,1,2,0,0,0,0,1
0,1,2,0,0,0,0,2
0,1,2,0,0,0,0,-1
0,1,2,0,0,0,0,-2
0,1,-1,0,0,0,0,1
0,1,-1,0,0,0,0,2
0,1,-1,0,0,0,0,-1
0,1,-1,0,0,0,0,-2
0,1,-2,0,0,0,0,1
0,1,-2,0,0,0,0,2
0,1,-2,0,0,0,0,-1
0,1,-2,0,0,0,0,-2
0,2,1,0,0,0,0,1
0,2,1,0,0,0,0,2
0,2,1,0,0,0,0,-1
0,2,1,0,0,0,0,-2
0,2,2,0,0,0,0,1
0,2,2,0,0,0,0,2
0,2,2,0,0,0,0,-1
0,2,2,0,0,0,0,-2
0,2,-1,0,0,0,0,1
0,2,-1,0,0,0,0,2
0,2,-1,0,0,0,0,-1
0,2,-1,0,0,0,0,-2
0,2,-2,0,0,0,0,1
0,2,-2,0,0,0,0,2
0,2,-2,0,0,0,0,-1
0,2,-2,0,0,0,0,-2
0,-1,1,0,0,0,0,1
0,-1,1,0,0,0,0,2
0,-1,1,0,0,0,0,-1
0,-1,1,0,0,0,0,-2
0,-1,2,0,0,0,0,1
0,-1,2,0,0,0,0,2
0,-1,2,0,0,0,0,-1
0,-1,2,0,0,0,0,-2
0,-1,-1,0,0,0,0,1
0,-1,-1,0,0,0,0,2
0,-1,-1,0,0,0,0,-1
0,-1,-1,0,0,0,0,-2
0,-1,-2,0,0,0,0,1
0,-1,-2,0,0,0,0,2
0,-1,-2,0,0,0,0,-1
0,-1,-2,0,0,0,0,-2
0,-2,1,0,0,0,0,1
0,-2,1,0,0,0,0,2
0,-2,1,0,0,0,0,-1
0,-2,1,0,0,0,0,-2
0,-2,2,0,0,0,0,1
0,-2,2,0,0,0,0,2
0,-2,2,0,0,0,0,-1
0,-2,2,0,0,0,0,-2
0,-2,-1,0,0,0,0,1
0,-2,-1,0,0,0,0,2
0,-2,-1,0,0,0,0,-1
0,-2,-1,0,0,0,0,-2
0,-2,-2,0,0,0,0,1
0,-2,-2,0,0,0,0,2
0,-2,-2,0,0,0,0,-1
0,-2,-2,0,0,0,0,-2
0,1,0,1,1,0,0,0
0,1,0,1,2,0,0,0
0,1,0,1,-1,0,0,0
0,1,0,1,-2,0,0,0
0,1,0,2,1,0,0,0
0,1,0,2,2,0,0,0
0,1,0,2,-1,0,0,0
0,1,0,2,-2,0,0,0
0,1,0,-1,1,0,0,0
0,1,0,-1,2,0,0,0
0,1,0,-1,-1,0,0,0
0,1,0,-1,-2,0,0,0
0,1,0,-2,1,0,0,0
0,1,0,-2,2,0,0,0
0,1,0,-2,-1,0,0,0
0,1,0,-2,-2,0,0,0
0,2,0,1,1,0,0,0
0,2,0,1,2,0,0,0
0,2,0,1,-1,0,0,0
0,2,0,1,-2,0,0,0
0,2,0,2,1,0,0,0
0,2,0,2,2,0,0,0
0,2,0,2,-1,0,0,0
0,2,0,2,-2,0,0,0
0,2,0,-1,1,0,0,0
0,2,0,-1,2,0,0,0
0,2,0,-1,-1,0,0,0
0,2,0,-1,-2,0,0,0
0,2,0,-2,1,0,0,0
0,2,0,-2,2,0,0,0
0,2,0,-2,-1,0,0,0
0,2,0,-2,-2,0,0,0
0,-1,0,1,1,0,0,0
0,-1,0,1,2,0,0,0
0,-1,0,1,-1,0,0,0
0,-1,0,1,-2,0,0,0
0,-1,0,2,1,0,0,0
0,-1,0,2,2,0,0,0
0,-1,0,2,-1,0,0,0
0,-1,0,2,-2,0,0,0
0,-1,0,-1,1,0,0,0
0,-1,0,-1,2,0,0,0
0,-1,0,-1,-1,0,0,0
0,-1,0,-1,-2,0,0,0
0,-1,0,-2,1,0,0,0
0,-1,0,-2,2,0,0,0
0,-1,0,-2,-1,0,0,0
0,-1,0,-2,-2,0,0,0
0,-2,0,1,1,0,0,0
0,-2,0,1,2,0,0,0
0,-2,0,1,-1,0,0,0
0,-2,0,1,-2,0,0,0
0,-2,0,2,1,0,0,0
0,-2,0,2,2,0,0,0
0,-2,0,2,-1,0,0,0
0,-2,0,2,-2,0,0,0
0,-2,0,-1,1,0,0,0
0,-2,0,-1,2,0,0,0
0,-2,0,-1,-1,0,0,0
0,-2,0,-1,-2,0,0,0
0,-2,0,-2,1,0,0,0
0,-2,0,-2,2,0,0,0
0,-2,0,-2,-1,0,0,0
0,-2,0,-2,-2,0,0,0
0,1,0,1,0,1,0,0
0,1,0,1,0,2,0,0
0,1,0,1,0,-1,0,0
0,1,0,1,0,-2,0,0
0,1,0,2,0,1,0,0
0,1,0,2,0,2,0,0
0,1,0,2,0,-1,0,0
0,1,0,2,0,-2,0,0
0,1,0,-1,0,1,0,0
0,1,0,-1,0,2,0,0
0,1,0,-1,0,-1,0,0
0,1,0,-1,0,-2,0,0
0,1,0,-2,0,1,0,0
0,1,0,-2,0,2,0,0
0,1,0,-2,0,-1,0,0
0,1,0,-2,0,-2,0,0
0,2,0,1,0,1,0,0
0,2,0,1,0,2,0,0
0,2,0,1,0,-1,0,0
0,2,0,1,0,-2,0,0
0,2,0,2,0,1,0,0
0,2,0,2,0,2,0,0
0,2,0,2,0,-1,0,0
0,2,0,2,0,-2,0,0
0,2,0,-1,0,1,0,0
0,2,0,-1,0,2,0,0
0,2,0,-1,0,-1,0,0
0,2,0,-1,0,-2,0,0
0,2,0,-2,0,1,0,0
0,2,0,-2,0,2,0,0
0,2,0,-2,0,-1,0,0
0,2,0,-2,0,-2,0,0
0,-1,0,1,0,1,0,0
0,-1,0,1,0,2,0,0
0,-1,0,1,0,-1,0,0
0,-1,0,1,0,-2,0,0
0,-1,0,2,0,1,0,0
0,-1,0,2,0,2,0,0
0,-1,0,2,0,-1,0,0
0,-1,0,2,0,-2,0,0
0,-1,0,-1,0,1,0,0
0,-1,0,-1,0,2,0,0
0,-1,0,-1,0,-1,0,0
0,-1,0,-1,0,-2,0,0
0,-1,0,-2,0,1,0,0
0,-1,0,-2,0,2,0,0
0,-1,0,-2,0,-1,0,0
0,-1,0,-2,0,-2,0,0
0,-2,0,1,0,1,0,0
0,-2,0,1,0,2,0,0
0,-2,0,1,0,-1,0,0
0,-2,0,1,0,-2,0,0
0,-2,0,2,0,1,0,0
0,-2,0,2,0,2,0,0
0,-2,0,2,0,-1,0,0
0,-2,0,2,0,-2,0,0
0,-2,0,-1,0,1,0,0
0,-2,0,-1,0,2,0,0
0,-2,0,-1,0,-1,0,0
0,-2,0,-1,0,-2,0,0
0,-2,0,-2,0,1,0,0
0,-2,0,-2,0,2,0,0
0,-2,0,-2,0,-1,0,0
0,-2,0,-2,0,-2,0,0
0,1,0,1,0,0,1,0
0,1,0,1,0,0,2,0
0,1,0,1,0,0,-1,0
0,1,0,1,0,0,-2,0
0,1,0,2,0,0,1,0
0,1,0,2,0,0,2,0
0,1,0,2,0,0,-1,0
0,1,0,2,0,0,-2,0
0,1,0,-1,0,0,1,0
0,1,0,-1,0,0,2,0
0,1,0,-1,0,0,-1,0
0,1,0,-1,0,0,-2,0
0,1,0,-2,0,0,1,0
0,1,0,-2,0,0,2,0
0,1,0,-2,0,0,-1,0
0,1,0,-2,0,0,-2,0
0,2,0,1,0,0,1,0
0,2,0,1,0,0,2,0
0,2,0,1,0,0,-1,0
0,2,0,1,0,0,-2,0
0,2,0,2,0,0,1,0
0,2,0,2,0,0,2,0
0,2,0,2,0,0,-1,0
0,2,0,2,0,0,-2,0
0,2,0,-1,0,0,1,0
0,2,0,-1,0,0,2,0
0,2,0,-1,0,0,-1,0
0,2,0,-1,0,0,-2,0
0,2,0,-2,0,0,1,0
0,2,0,-2,0,0,2,0
0,2,0,-2,0,0,-1,0
0,2,0,-2,0,0,-2,0
0,-1,0,1,0,0,1,0
0,-1,0,1,0,0,2,0
0,-1,0,1,0,0,-1,0
0,-1,0,1,0,0,-2,0
0,-1,0,2,0,0,1,0
0,-1,0,2,0,0,2,0
0,-1,0,2,0,0,-1,0
0,-1,0,2,0,0,-2,0
0,-1,0,-1,0,0,1,0
0,-1,0,-1,0,0,2,0
0,-1,0,-1,0,0,-1,0
0,-1,0,-1,0,0,-2,0
0,-1,0,-2,0,0,1,0
0,-1,0,-2,0,0,2,0
0,-1,0,-2,0,0,-1,0
0,-1,0,-2,0,0,-2,0
0,-2,0,1,0,0,1,0
0,-2,0,1,0,0,2,0
0,-2,0,1,0,0,-1,0
0,-2,0,1,0,0,-2,0
0,-2,0,2,0,0,1,0
0,-2,0,2,0,0,2,0
0,-2,0,2,0,0,-1,0
0,-2,0,2,0,0,-2,0
0,-2,0,-1,0,0,1,0
0,-2,0,-1,0,0,2,0
0,-2,0,-1,0,0,-1,0
0,-2,0,-1,0,0,-2,0
0,-2,0,-2,0,0,1,0
0,-2,0,-2,0,0,2,0
0,-2,0,-2,0,0,-1,0
0,-2,0,-2,0,0,-2,0
0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,2
0,1,0,1,0,0,0,-1
0,1,0,1,0,0,0,-2
0,1,0,2,0,0,0,1
0,1,0,2,0,0,0,2
0,1,0,2,0,0,0,-1
0,1,0,2,0,0,0,-2
0,1,0,-1,0,0,0,1
0,1,0,-1,0,0,0,2
0,1,0,-1,0,0,0,-1
0,1,0,-1,0,0,0,-2
0,1,0,-2,0,0,0,1
0,1,0,-2,0,0,0,2
0,1,0,-2,0,0,0,-1
0,1,0,-2,0,0,0,-2
0,2,0,1,0,0,0,1
0,2,0,1,0,0,0,2
0,2,0,1,0,0,0,-1
0,2,0,1,0,0,0,-2
0,2,0,2,0,0,0,1
0,2,0,2,0,0,0,2
0,2,0,2,0,0,0,-1
0,2,0,2,0,0,0,-2
0,2,0,-1,0,0,0,1
0,2,0,-1,0,0,0,2
0,2,0,-1,0,0,0,-1
0,2,0,-1,0,0,0,-2
0,2,0,-2,0,0,0,1
0,2,0,-2,0,0,0,2
0,2,0,-2,0,0,0,-1
0,2,0,-2,0,0,0,-2
0,-1,0,1,0,0,0,1
0,-1,0,1,0,0,0,2
0,-1,0,1,0,0,0,-1
0,-1,0,1,0,0,0,-2
0,-1,0,2,0,0,0,1
0,-1,0,2,0,0,0,2
0,-1,0,2,0,0,0,-1
0,-1,0,2,0,0,0,-2
0,-1,0,-1,0,0,0,1
0,-1,0,-1,0,0,0,2
0,-1,0,-1,0,0,0,-1
0,-1,0,-1,0,0,0,-2
0,-1,0,-2,0,0,0,1
0,-1,0,-2,0,0,0,2
0,-1,0,-2,0,0,0,-1
0,-1,0,-2,0,0,0,-2
0,-2,0,1,0,0,0,1
0,-2,0,1,0,0,0,2
0,-2,0,1,0,0,0,-1
0,-2,0,1,0,0,0,-2
0,-2,0,2,0,0,0,1
0,-2,0,2,0,0,0,2
0,-2,0,2,0,0,0,-1
0,-2,0,2,0,0,0,-2
0,-2,0,-1,0,0,0,1
0,-2,0,-1,0,0,0,2
0,-2,0,-1,0,0,0,-1
0,-2,0,-1,0,0,0,-2
0,-2,0,-2,0,0,0,1
0,-2,0,-2,0,0,0,2
0,-2,0,-2,0,0,0,-1
0,-2,0,-2,0,0,0,-2
0,0,1,1,1,0,0,0
0,0,1,1,2,0,0,0
0,0,1,1,-1,0,0,0
0,0,1,1,-2,0,0,0
0,0,1,2,1,0,0,0
0,0,1,2,2,0,0,0
0,0,1,2,-1,0,0,0
0,0,1,2,-2,0,0,0
0,0,1,-1,1,0,0,0
0,0,1,-1,2,0,0,0
0,0,1,-1,-1,0,0,0
0,0,1,-1,-2,0,0,0
0,0,1,-2,1,0,0,0
0,0,1,-2,2,0,0,0
0,0,1,-2,-1,0,0,0
0,0,1,-2,-2,0,0,0
0,0,2,1,1,0,0,0
0,0,2,1,2,0,0,0
0,0,2,1,-1,0,0,0
0,0,2,1,-2,0,0,0
0,0,2,2,1,0,0,0
0,0,2,2,2,0,0,0
0,0,2,2,-1,0,0,0
0,0,2,2,-2,0,0,0
0,0,2,-1,1,0,0,0
0,0,2,-1,2,0,0,0
0,0,2,-1,-1,0,0,0
0,0,2,-1,-2,0,0,0
0,0,2,-2,1,0,0,0
0,0,2,-2,2,0,0,0
0,0,2,-2,-1,0,0,0
0,0,2,-2,-2,0,0,0
0,0,-1,1,1,0,0,0
0,0,-1,1,2,0,0,0
0,0,-1,1,-1,0,0,0
0,0,-1,1,-2,0,0,0
0,0,-1,2,1,0,0,0
0,0,-1,2,2,0,0,0
0,0,-1,2,-1,0,0,0
0,0,-1,2,-2,0,0,0
0,0,-1,-1,1,0,0,0
0,0,-1,-1,2,0,0,0
0,0,-1,-1,-1,0,0,0
0,0,-1,-1,-2,0,0,0
0,0,-1,-2,1,0,0,0
0,0,-1,-2,2,0,0,0
0,0,-1,-2,-1,0,0,0
0,0,-1,-2,-2,0,0,0
0,0,-2,1,1,0,0,0
0,0,-2,1,2,0,0,0
0,0,-2,1,-1,0,0,0
